127.0.0.1 - - [14/Jun/2022:09:37:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jun/2022:09:37:07 +0900] "GET /ch01-HTML/ch27-javaScriptDOM/s10_innerHTML.html HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [14/Jun/2022:09:37:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jun/2022:10:06:30 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s04_mouse.html HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [14/Jun/2022:10:06:41 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s04_mouse.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2022:10:08:27 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s04_mouse.html HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [14/Jun/2022:10:08:32 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s04_mouse.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2022:10:08:32 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s04_mouse.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2022:10:08:32 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s04_mouse.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2022:10:08:41 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s04_mouse.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2022:10:08:42 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s04_mouse.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2022:10:08:42 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s04_mouse.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2022:10:08:42 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s04_mouse.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2022:10:08:43 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s04_mouse.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2022:10:09:15 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s04_mouse.html HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [14/Jun/2022:10:19:14 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s05_change.html HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [14/Jun/2022:11:08:59 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s07_submit.html HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [14/Jun/2022:11:09:06 +0900] "POST /ch01-HTML/ch28-javaScriptEvent/a.jsp HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [14/Jun/2022:11:22:44 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s08_isNaN.html HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [14/Jun/2022:12:09:05 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s12_mouse.html HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [14/Jun/2022:12:09:05 +0900] "GET /ch01-HTML/images/Penguins.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2022:12:09:05 +0900] "GET /ch01-HTML/images/Koala.jpg HTTP/1.1" 200 780831
0:0:0:0:0:0:0:1 - - [14/Jun/2022:12:24:41 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s12_mouse.html HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [14/Jun/2022:12:24:41 +0900] "GET /ch01-HTML/images/Koala.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2022:12:37:16 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s12_mouse.html HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [14/Jun/2022:12:37:16 +0900] "GET /ch01-HTML/images/Koala.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2022:14:25:25 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s13_display.html HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [14/Jun/2022:14:35:20 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s13_display.html HTTP/1.1" 200 855
