127.0.0.1 - - [15/Jun/2022:11:30:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:30:59 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s18_gallery.html HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:31:00 +0900] "GET /ch01-HTML/images/left_btn.png HTTP/1.1" 200 2402
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:31:00 +0900] "GET /ch01-HTML/images/right_btn.png HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:31:00 +0900] "GET /ch01-HTML/images/img1.jpg HTTP/1.1" 200 31227
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:31:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:32:08 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s18_gallery.html HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:32:08 +0900] "GET /ch01-HTML/images/left_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:32:08 +0900] "GET /ch01-HTML/images/right_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:32:08 +0900] "GET /ch01-HTML/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:33:16 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s18_gallery.html HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:44:58 +0900] "GET /ch01-HTML/ch28-javaScriptEvent/s18_gallery.html HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:44:58 +0900] "GET /ch01-HTML/images/left_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:44:58 +0900] "GET /ch01-HTML/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:44:58 +0900] "GET /ch01-HTML/images/right_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:44:58 +0900] "GET /ch01-HTML/images/img2.jpg HTTP/1.1" 200 28329
0:0:0:0:0:0:0:1 - - [15/Jun/2022:11:44:59 +0900] "GET /ch01-HTML/images/img3.jpg HTTP/1.1" 200 28910
