127.0.0.1 - - [03/Jun/2022:09:08:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:08:19 +0900] "GET /ch01-HTML/ch14-float/s03_poster.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:08:19 +0900] "GET /ch01-HTML/images/movie_image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:08:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:48:57 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 200 2273
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:09:16 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:14 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:14 +0900] "GET /ch01-HTML/ch04-semantic/style.css HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:16 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:16 +0900] "GET /ch01-HTML/ch04-semantic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:24 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:24 +0900] "GET /ch01-HTML/ch04-semantic/style.css HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:25 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:25 +0900] "GET /ch01-HTML/ch04-semantic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:25 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:25 +0900] "GET /ch01-HTML/ch04-semantic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:25 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:25 +0900] "GET /ch01-HTML/ch04-semantic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:26 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:26 +0900] "GET /ch01-HTML/ch04-semantic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:26 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:26 +0900] "GET /ch01-HTML/ch04-semantic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:26 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:26 +0900] "GET /ch01-HTML/ch04-semantic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:26 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:26 +0900] "GET /ch01-HTML/ch04-semantic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:26 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:26 +0900] "GET /ch01-HTML/ch04-semantic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:27 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:27 +0900] "GET /ch01-HTML/ch04-semantic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:16:27 +0900] "GET /ch01-HTML/ch04-semantic/s02_semantic.html HTTP/1.1" 304 -
