127.0.0.1 - - [30/Jun/2022:09:29:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jun/2022:09:29:50 +0900] "GET /ch03-JSP/ch09-jdbc/s02_selectTest.jsp HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [30/Jun/2022:09:29:50 +0900] "GET /ch03-JSP/ch09-jdbc/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:09:29:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Jun/2022:09:30:03 +0900] "GET /ch03-JSP/ch09-jdbc/s05_detailTest.jsp?num=41 HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [30/Jun/2022:09:30:09 +0900] "GET /ch03-JSP/ch09-jdbc/s06_updateTestForm.jsp?num=41 HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [30/Jun/2022:09:30:09 +0900] "GET /ch03-JSP/ch09-jdbc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:10:18:42 +0900] "GET /ch03-JSP/ch09-jdbc/s02_selectTest.jsp HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [30/Jun/2022:10:18:43 +0900] "GET /ch03-JSP/ch09-jdbc/s02_selectTest.jsp HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [30/Jun/2022:10:18:46 +0900] "GET /ch03-JSP/ch09-jdbc/s05_detailTest.jsp?num=41 HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [30/Jun/2022:10:18:47 +0900] "GET /ch03-JSP/ch09-jdbc/s08_deleteTestForm.jsp?num=41 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [30/Jun/2022:10:18:49 +0900] "POST /ch03-JSP/ch09-jdbc/s09_deleteTest.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [30/Jun/2022:10:18:49 +0900] "GET /ch03-JSP/ch09-jdbc/s02_selectTest.jsp HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [30/Jun/2022:10:18:50 +0900] "GET /ch03-JSP/ch09-jdbc/s05_detailTest.jsp?num=21 HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [30/Jun/2022:10:18:51 +0900] "GET /ch03-JSP/ch09-jdbc/s08_deleteTestForm.jsp?num=21 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [30/Jun/2022:10:18:52 +0900] "GET /ch03-JSP/ch09-jdbc/s02_selectTest.jsp HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [30/Jun/2022:10:29:41 +0900] "GET /ch03-JSP/ch09-jdbc/s05_detailTest.jsp?num=21 HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [30/Jun/2022:10:29:43 +0900] "GET /ch03-JSP/ch09-jdbc/s08_deleteTestForm.jsp?num=21 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [30/Jun/2022:11:13:38 +0900] "GET /ch03-JSP/ch10-ajax/s01_page.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [30/Jun/2022:11:13:39 +0900] "GET /ch03-JSP/js/squery-3.6.0.min.js HTTP/1.1" 404 281
0:0:0:0:0:0:0:1 - - [30/Jun/2022:11:14:02 +0900] "GET /ch03-JSP/ch10-ajax/s01_page.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [30/Jun/2022:11:14:02 +0900] "GET /ch03-JSP/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [30/Jun/2022:11:14:02 +0900] "GET /ch03-JSP/ch10-ajax/myString.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Jun/2022:11:29:58 +0900] "GET /ch03-JSP/ch10-ajax/s02_page.html HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [30/Jun/2022:11:29:58 +0900] "GET /ch03-JSP/ch10-ajax/myParam.jsp?name=dragon&age=21 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [30/Jun/2022:12:10:58 +0900] "GET /ch03-JSP/ch10-ajax/s03_page.html HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [30/Jun/2022:12:10:59 +0900] "GET /ch03-JSP/ch10-ajax/myXML.jsp HTTP/1.1" 200 229
