127.0.0.1 - - [31/May/2022:09:43:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/May/2022:09:43:50 +0900] "GET /ch01-HTML/ch06-cssSelectors/s09_child.html HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [31/May/2022:09:43:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/May/2022:09:50:20 +0900] "GET /ch01-HTML/ch06-cssSelectors/s10_first.html HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:18 +0900] "GET /ch01-HTML/ch06-cssSelectors/s11_sibling.html HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [31/May/2022:10:14:49 +0900] "GET /ch01-HTML/ch06-cssSelectors/s12_attribute.html HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [31/May/2022:10:14:51 +0900] "GET /ch01-HTML/ch06-cssSelectors/index.html HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:14:52 +0900] "GET /ch01-HTML/ch06-cssSelectors/index.html HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:14:53 +0900] "GET /ch01-HTML/ch06-cssSelectors/s12_attribute.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:16:56 +0900] "GET /ch01-HTML/ch06-cssSelectors/s12_attribute.html HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [31/May/2022:10:20:31 +0900] "GET /ch01-HTML/ch06-cssSelectors/s12_attribute.html HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [31/May/2022:10:28:51 +0900] "GET /ch01-HTML/ch06-cssSelectors/s12_attribute.html HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [31/May/2022:10:28:52 +0900] "GET /ch01-HTML/ch06-cssSelectors/s12_attribute.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:34:16 +0900] "GET /ch01-HTML/ch06-cssSelectors/s12_attribute.html HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [31/May/2022:10:45:10 +0900] "GET /ch01-HTML/ch06-cssSelectors/s12_attribute.html HTTP/1.1" 200 2214
0:0:0:0:0:0:0:1 - - [31/May/2022:10:55:08 +0900] "GET /ch01-HTML/ch06-cssSelectors/s12_attribute.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:11:07:48 +0900] "GET /ch01-HTML/ch06-cssSelectors/s13_pseudo.html HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [31/May/2022:11:12:40 +0900] "GET /ch01-HTML/ch06-cssSelectors/s13_pseudo.html HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [31/May/2022:11:14:23 +0900] "GET /ch01-HTML/ch06-cssSelectors/s13_pseudo.html HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [31/May/2022:11:14:24 +0900] "GET /ch01-HTML/ch06-cssSelectors/s13_pseudo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:11:14:26 +0900] "GET /ch01-HTML/ch06-cssSelectors/s13_pseudo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:11:14:30 +0900] "GET /ch01-HTML/ch06-cssSelectors/s13_pseudo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:11:15:25 +0900] "GET /ch01-HTML/ch06-cssSelectors/s13_pseudo.html HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [31/May/2022:11:17:48 +0900] "GET /ch01-HTML/ch06-cssSelectors/s13_pseudo.html HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [31/May/2022:11:18:23 +0900] "GET /ch01-HTML/ch06-cssSelectors/s13_pseudo.html HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [31/May/2022:11:18:38 +0900] "GET /ch01-HTML/ch06-cssSelectors/s13_pseudo.html HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [31/May/2022:11:18:55 +0900] "GET /ch01-HTML/ch06-cssSelectors/s13_pseudo.html HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [31/May/2022:11:19:51 +0900] "GET /ch01-HTML/ch06-cssSelectors/s13_pseudo.html HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [31/May/2022:11:30:42 +0900] "GET /ch01-HTML/ch07-cssText/s01_text_decoration.html HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [31/May/2022:11:39:29 +0900] "GET /ch01-HTML/ch07-cssText/s02_text_align.html HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [31/May/2022:11:39:31 +0900] "GET /ch01-HTML/ch07-cssText/s02_text_align.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:11:39:32 +0900] "GET /ch01-HTML/ch07-cssText/s02_text_align.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:11:39:33 +0900] "GET /ch01-HTML/ch07-cssText/s02_text_align.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:11:39:33 +0900] "GET /ch01-HTML/ch07-cssText/s02_text_align.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:11:39:45 +0900] "GET /ch01-HTML/ch07-cssText/s02_text_align.html HTTP/1.1" 200 1529
