127.0.0.1 - - [13/Jun/2022:09:38:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jun/2022:09:38:48 +0900] "GET /ch01-HTML/ch25-javaScriptClientObject/s05_location.html HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [13/Jun/2022:09:38:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2022:09:38:50 +0900] "GET /ch01-HTML/ch25-javaScriptClientObject/s02_window.html HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [13/Jun/2022:09:45:35 +0900] "GET /ch01-HTML/ch25-javaScriptClientObject/s05_location.html HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [13/Jun/2022:09:45:37 +0900] "GET /ch01-HTML/ch25-javaScriptClientObject/s04_location.html HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:07:11 +0900] "GET /ch01-HTML/ch25-javaScriptClientObject/s06_history.html HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:07:39 +0900] "GET /ch01-HTML/ch25-javaScriptClientObject/s06_history.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:09:48 +0900] "GET /ch01-HTML/ch25-javaScriptClientObject/s06_history.html HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:10:37 +0900] "GET /ch01-HTML/ch25-javaScriptClientObject/s06_history.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:12:50 +0900] "GET /ch01-HTML/ch25-javaScriptClientObject/s06_history.html HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:13:05 +0900] "GET /ch01-HTML/ch25-javaScriptClientObject/s06_history.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:23:02 +0900] "GET /ch01-HTML/ch26-javaScriptNestedObject/s01_Array.html HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:23:05 +0900] "GET /ch01-HTML/ch26-javaScriptNestedObject/s01_Array.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:25:03 +0900] "GET /ch01-HTML/ch26-javaScriptNestedObject/s01_Array.html HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [13/Jun/2022:10:25:31 +0900] "GET /ch01-HTML/ch26-javaScriptNestedObject/s01_Array.html HTTP/1.1" 304 -
